,src_english,trg_french
94,Three old men are watching another man prepare fish.,Trois hommes âgés regardent un autre préparer le poisson.
95,"A woman in a white tank top with a green flowing skirt, on stage singing a song.","Une femme avec un débardeur blanc et une jupe verte fluide, sur scène, en train de chanter une chanson."
96,Two men and two women sitting on steps outdoors.,Deux hommes et deux femmes assises sur des marches en extérieur.
97,A brown and black lab are outside and the black lab is catching a toy in its mouth.,Un labrador brun et un noir sont dehors et le labrador noir attrape un jouet dans sa bouche.
98,"Hockey goalie boy in red jacket crouches by goal, with stick.","Un gardien de but de hockey, en veste rouge, se concentre sur l'objectif avec le bâton."
99,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading.,"L'homme avec le sac à dos, en train de lire, est assis dans une cour de bâtiment devant une sculpture d'art."
100,Toddler boy in a red hat holding on to some railings.,Un tout petit avec un chapeau rouge se tient à un garde-corps.
101,Three dogs stand in a grassy field while a person kneels nearby.,Trois chiens se tiennent dans un champ herbeux alors qu'une personne est agenouillée à proximité.
102,A man is standing in front of a skyscraper,Un homme est debout face à un gratte-ciel
103,A woman is walking her baby with a stroller at the local park.,Une femme promène son bébé dans une poussette dans le parc local.
104,A man in a red shirt is sitting by fruit for sale.,Un homme portant une chemise rouge assis à coté des fruits à vendre.
105,A young blond-haired boy and a dark-haired girl are eating at a kid's table.,Un jeune garçon blond et une fille aux cheveux noirs mangent sur une table pour les enfants.
106,The boy eats his food outside at the table.,Le garçon mange sa nourriture à l'extérieur sur la table.
107,A man wearing black is playing an electric guitar at a concert., Un homme vêtu en noir joue une guitare électrique lors d'un concert.
108,A girl playing softball hits the ball almost directly downwards,Une fille qui jouent à la balle-molle frappe la balle presque directement vers le bas
109,A man in a black shirt plays a black-colored guitar.,Un homme en chemise noire joue une guitare de couleur noire.
110,A man wearing a black shirt smoothing out concrete in an urban area.,Un homme vêtu d'une chemise noire en train de lisser le béton dans une zone urbaine.
111,A woman in a white shirt is sitting at a table in a nice restaurant.,Une femme en chemise blanche assise à une table dans un bon restaurant.
112,A woman is laying on a red blanket in a park.,Une femme est allongée sur une couverture rouge dans un parc.
113,A solitary man stand on a bridge in the evening.,Un homme solitaire debout sur un pont dans la soirée.
114,A child walks in a grassy field.,Un enfant marche dans un champ herbeux.
115,A man and his dog are grilling green beans on a grill.,Un homme et son chien en train griller les haricots verts sur un barbecue.
116,Three people rest on a ledge above the moutains.,Trois personnes se reposent sur un rebord au-dessus d'une  montagne.
117,Many people cross a very tall footbridge with a tree-covered hill in the background.,Plusieurs personnes traversent une passerelle très grande avec en arrière-plan une colline couverte d'arbres.
118,A young boy overlooking a crowd of inflatable boats.,Un jeune garçon face à une foule de bateaux pneumatiques.
119,Two little girls and an old man have a conversation.,Deux petites filles et un vieil homme discutent.
120,"Asian man and blond woman holding hands outdoors, man in background watches.","Homme asiatique et une femme blonde se tiennent la main à l'extérieur, l'homme en arrière-plan regarde."
121,An older man with gray hair is sitting in a chair playing a large instrument made of bamboo.,Un homme âgé aux cheveux gris assis sur une chaise en jouant un grand instrument en bambou.
122,A man in a white shirt rides a bicycle on a busy street.,Un homme en chemise blanche monte un vélo dans une rue très fréquentée.
123,A man is standing on a ladder painting bricks,Un homme debout sur une échelle peinture des  briques
124,A 30 somethings man playing with his phone on a subway train.,Un homme de plus de 30 ans jouant avec son téléphone dans un métro.
125,Two women are walking in a crosswalk with a bus in the background.,Deux femmes marchent dans un passage piétons avec un bus en arrière-plan.
126,A group of people are eating noddles.,Un groupe de gens mangent des nouilles.
127,A woman is carrying a bowl full of fruit on her head near the ocean side.,Une femme porte un bol plein de fruits sur la tête près de l'océan.
128,A guy wearing blue in a hole.,Un gars habillé en bleu dans un trou.
129,Four children are smiling as they pose together with a bicycle that is much too big for them.,Quatre enfants ont le sourire car ils posent ensemble avec un vélo qui est beaucoup trop grand pour eux.
130,"Two individuals, a male and a female, standing in a forested area around a tub.","Deux individus, un homme et une femme, debout dans une zone forestière autour d'une baignoire."
131,A sleeping baby is in someone's arms and wearing a pink striped outfit,Un bébé dort dans les bras de quelqu'un vêtu d'un costume rose rayé
132,A member of an African tribe is watching the camera intently in tribal dress.,Un membre d'une tribu africaine en robe tribale regarde attentivement la caméra.
133,A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,Un guerrier samouraï en robe noire prend son épée du fourreau sur un tapis d'entraînement à l'extérieur.
134,Several young people sitting on a rail above a crowded beach.,Plusieurs jeunes assis sur un rail au-dessus d'une plage bondée.
135,"Five hikers, one facing towards the camera and the others facing away from it, are walking through a rocky riverbed.","Cinq randonneurs, un tourné vers la caméra et les autres tournée à l'opposé, marchent à travers une rivière rocheuse."
136,"A security guard stands by a metal, lighted sculpture.",Un agent de sécurité se tient à coté d'une sculpture métallique éclairée.
137,"Two women, one in green and the other in purple, washing a sidewalk.","Deux femmes, l'une en vert et l'autre en pourpre lavent un trottoir."
138,Two girls crouch in front of some bushes and talk on their phones.,Deux filles accroupi en face de quelques buissons et parle par téléphone.
139,A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,Une jeune fille vêtue en multicolore tenant une boule orange dans sa main droite qui marche sur un herbe vert clair derrière une maison.
140,A young child playing with a toy while laying on the floor.,Un enfant jouant avec un jouet alors qu'il est assis sur le sol.
141,A little boy skateboarder is doing a trick on his board while another young skateboarder watches.,Un jeune planchiste fait un tour sur sa planche tandis qu'un autre observe.
142,Two kids are laughing in the grass.,Deux enfants rient dans l'herbe.
143,"Young woman holding a bottle, reaching out from a bench to shake a man's hand.",Une jeune femme tient une bouteille et tend la main à partir d'un banc pour serrer la main d'un homme
144,A driver communicating on his walkie talkie.,Un pilote communique sur son talkie-walkie.
145,"A girl paddling down a large river, as seen from behind her.","Une fille pagayant sur une grande rivière, comme on le voit par derrière."
146,A girl with pigtails plays in the water.,Une fille avec des nattes joue dans l'eau.
147,A couple wearing white sweaters sit at a restaurant table.,Un couple portant des pulls blancs assis à une table de restaurant.
148,A meal is on a table in a restaurant.,Un repas sur une table dans un restaurant.
149,Two construction workers take a seat on a steel beam.,Deux ouvriers du bâtiment assis sur une poutre en acier.
150,A child happily mixing batter in a bowl.,Un enfant mélange joyeusement la pâte dans un bol.
151,Two children play with a balloon in mud on a sunny day.,Deux enfants jouent avec un ballon dans la boue par une journée ensoleillée.
152,A little girl looking at a brochure on train rides,Une petite fille regarde une brochure sur les voyages en train
153,Two women are sitting and talking and laughing together.,"Deux femmes sont assises, discutant et riant ensemble."
154,People jogging together on a park sidewalk.,Des gens courant ensemble sur le trottoir d'un parc.
155,A little kid is jumping off a high dive at the pool.,Un petit enfant est en train de sauter d'un grand plongeoir à la piscine.
156,A light-colored dog runs on the beach.,Un chien de couleur claire court sur la plage.
157,A man lounges in a wooden basin of water while eating a fruit.,Un homme se détend dans une bassine d'eau en bois tout en mangeant un fruit.
158,A man is sleeping on a bench near a bus stop.,Un homme est en train de dormir sur un banc près d'un arrêt de bus.
159,A little girl in a red shirt and jeans climbs a small tree while another little girl looks on.,Une petite fille en chemise rouge et jean monte dans un petit arbre tandis qu'un autre petite fille observe.
160,A man asleep in a car that's driving.,Un homme endormi dans une voiture qui est conduite.
161,A woman in a red shirt is under a blanket and sleeping in a vehicle.,"Une femme dans un t-shirt rouge est sous une couverture en train de dormir, dans un véhicule."
162,A man in a home kitchen is flipping a pancake extremely high.,Un homme dans la cuisine d'une maison fait sauter une crêpe très haut.
163,Several firefighters are responding to an alarm.,Plusieurs pompiers réagissent à une alarme.
164,Several firefighters stand outside of a building near their firetrucks.,Plusieurs pompiers se tiennent à l'extérieur d'un bâtiment à proximité de leurs camions.
165,"A beach with blue and red boats, with people on shore","Une plage avec des bateaux bleus et rouges, avec des gens sur le rivage"
166,Men wearing hard hats and safety vests are working.,Des hommes portant des casques et des gilets de sécurité sont en train de travailler.
167,A magazine vendor sits behind a very colorful collage of magazines.,Un vendeur de magazines est assis derrière un collage très coloré de magazines.
168,A man in a hard hat is wearing a blue shirt and blue jean overalls.,Un homme avec un casque porte un t-shirt bleu et une salopette en jean bleue.
169,"At the bakery, the fat old baker sleeps while his apprentice rubs the flour out of his eyes, seated beside him.","À la boulangerie, le vieux et gros boulanger dort pendant que son apprenti retire la farine de ses yeux, assis à côté de lui."
170,A group of shirtless men are sitting in the shade on a tropical beach.,Un groupe d'hommes torse nu sont assis à l'ombre sur une plage tropicale.
171,A boy in his blue swim shorts at the beach.,Un garçon dans son short de bain bleu à la plage.
172,A skier is overlooking a snow-covered mountain.,Un skieur surplombe une montagne enneigée.
173,A boy wearing a red shirt is riding his bike right next to a mound of dirt.,Un garçon vêtu d'une chemise rouge fait du vélo juste à côté d'un monticule de terre.
174,Bikers in a bike race take a sharp left turn.,Des coureurs dans une course de vélo prennent un virage serré à gauche.
175,Three boys playing and biking with a pile of sand in the middle,Trois garçons jouent et font du vélo avec un tas de sable au milieu
176,Elderly man with a cane bends over near a man and woman.,Un homme âgé avec une canne se penche en avant près d'un homme et d'une femme.
177,A doctor and nurses in blue scrubs are performing an operation.,Un médecin et des infirmières en blouses bleues effectuent une opération.
178,A black and white dog jumps after a yellow toy.,Un chien noir et blanc saute sur un jouet jaune.
179,A woolly dog chases a Doberman on a beach.,Un chien laineux pourchasse un Doberman sur une plage.
180,A man stand there after rolling a bowling ball down a lane.,"Un homme se tient là, après avoir fait rouler une boule de bowling sur une piste."
181,"An old weathered, bearded man wearing all black, riding a beautiful white donkey on white rocks.","Un vieil homme ridé, barbu et vêtu de noir, chevauchant un magnifique âne blanc sur des rochers blancs."
182,A man and woman napping on a blue couch.,Un homme et une femme font une sieste sur un canapé bleu.
183,A man wearing a yellow shirt is throwing a javelin on a track.,Un homme vêtu d'un maillot jaune est en train de lancer un javelot sur une piste.
184,A crowd watching air balloons at night.,Une foule regardant des montgolfières de nuit.
185,A woman is reading a magazine over another woman's shoulder.,Une femme lit un magazine par dessus l'épaule d'une autre femme.
186,Two men squat to light candles at night.,Deux hommes s'accroupissent pour allumer des bougies dans la nuit.
187,A young man is walking through a busy street beside a mall.,"Un jeune homme marche dans une rue fréquentée, à côté d'un centre commercial."
188,The little boy rides his bicycle in a race.,Le petit garçon fait du vélo dans une course.
189,A group of people sitting at a table in a darkened room.,Un groupe de gens assis à une table dans une pièce sombre.
190,A man with two dogs on a beach,Un homme avec deux chiens sur une plage
191,A boy covered in suds has his face wiped clean.,Un garçon couvert de mousse se fait nettoyer le visage.
192,Dozens of people are partying on a boat.,Des dizaines de personnes font la fête sur un bateau.
193,A young woman on a boat in a light colored bikini kicks a man wearing a straw cowboy hat.,"Une jeune femme sur un bateau, dans un bikini de couleur claire, donne un coup de pied à un homme portant un chapeau de cowboy en paille."
194,A boy sliding down a slide into a pool with colorful tubes.,Un garçon glissant sur un toboggan dans une piscine avec des tubes colorés.
195,A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.,Un homme dans une combinaison de plongée jette un tout-petit en l'air et est prêt à l'attraper.
196,"A group of people riding in the back of a truck, down the road, in a country area.","Un groupe de personnes voyageant dans l'arrière d'un camion, sur la route, dans une zone rurale."
197,Two chefs prepare burgers in a restaurant kitchen.,Deux chefs préparent des hamburgers dans la cuisine d'un restaurant.
198,Two young boys making silly faces.,Deux jeunes garçons faisant des grimaces.
199,A person with brown pants is sitting around a fenced area that has sparks flying.,Une personne avec un pantalon brun est assis autour d'une zone clôturée où volent des étincelles.
200,Woman on a hill by a white cross overlooking a beach.,Une femme sur une colline à coté d'une croix blanche donnant sur une plage.
201,Four girls are sitting in the grass while several men stand near them.,Quatre filles sont assises sur l'herbe pendant que plusieurs hommes sont debout près d'elles.
202,Men at work shoveling snow from a rail track.,Des hommes travaillant à deneiger une voie de chemin de fer.
203,"A man, and girl and two horses are near a contained fire.",Un homme et une fille et deux chevaux sont près d'un feu contenu.
204,Workers wearing reflective vests working near a train car.,Des travailleurs portant des gilets réfléchissants travaillent près d'un wagon.
205,"An older guy looking at a classic, rustic, volkswagen beetle.","Un vieil homme regarde une classique, rustique, volkswagen beetle."
206,A woman assembles a white metal frame on the sidewalk.,Une femme assemble une armature en métal blanc sur le trottoir.
207,There are three dogs starring at a ball in the middle of them.,Il y a trois chiens qui regardent une balle au milieu d'eux.
208,A shirtless man and a woman sitting on a dock.,Un homme sans T-shirt et une femme assis sur un ponton.
209,Men in safety vests are working on a track.,Des hommes en gilets de sécurité travaillent sur une piste.
210,A man fixing the road with his equipment.,Un homme répare la route avec son matériel.
211,A woman with reddish hair applies mascara to her eyelashes.,Une femme aux cheveux rouge applique du mascara sur ces cils.
212,A white dog has its head on the ground.,Un chien blanc a sa tête sur le sol.
213,A woman in blue shorts and a white shirt is indoor rock climbing.,Une femme en short bleu et t-shirt blanc escalade un rocher d'intérieur.
214,Many scooters are parked together on the sidewalk.,Beaucoup de scooters sont garés ensemble sur le trotoir.
215,The regional park police helicopter is preparing to land.,L'hélicoptère de la police du parc régional se prépare à atterir.
216,A man in a reflective jacket positions himself on scaffolding.,Un homme dans un gilet réfléchissant se positionne sur un échaffaudage.
217,A group of fourteen is assembled in a hall with dining tables and a stage.,Un groupe de quatorze personnes est rassemblé dans une pièce contenant des tables pour diner et une scène.
218,A teenage boy is jumping on an inflatable slide.,Un adolescent saute sur un toboggan gonflable.
219,A family playing on a tractor on a beautiful day,Une famille joue sur un tracteur lors d'une belle journée.
220,An elderly woman pan frying food in a kitchen.,Une vieille femme fait frire des aliments dans une cuisine
221,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress.,Deux jeunes gens sont approchés par une flamboyante jeune femme vêtue d'un bikini rouge et d'une coiffe à plume rouge.
222,Two skiers are making their way through woodland.,Deux skieurs font leur chemin à travers les bois.
223,Skiiers at the top of a snow covered hill.,Des skieurs au sommet d'une colline couverte de neige.
224,A brown dog running next to grass.,Un chien brun court à côté de l'herbe.
225,"A woman in a green shirt and jeans kneels on a stoop with coffee in hand, her purse beside her and a large door behind her, as she fills out paperwork.","Une femme en t-shirt vert et jean est agenouillée sur un rebord avec du café à la main, son sac devant elle et une grande porte derrière elle, elle rempli un document."
226,People are crossing a city street intersection.,Des personnes traversent une intersection des rues de la ville.
227,A woman dressed in light purple and wearing a corsage clasps her hands in her lap.,Une femme vêtue de violet clair et portant un corsage serre ses mains sur ses genoux.
228,A mother and children is fishing on a boardwalk at night.,Une mère et ses enfants pêchent sur une promenade la nuit.
229,Six males playing a game in the sand with wooden paddles.,Six hommes jouent à un jeu dans le sable avec des palettes en bois.
230,"A woman in a green tank top is surrounded by three children, laughing.","Une femme au débardeur vert est entourée de trois enfants, elle rie"
231,"A male in a black shirt, and black pants, working on the engine of an old, green antique automobile, with a yellow gas canister sitting on the grass.","Un homme en t-shirt noir et pantalon noir, travaille sur le moteur d'une vieille automobile vert antique, avec un jerrican jaune dans l'herbe"
232,A woman in a blue jacket rides a brown pony near water.,Une femme en veste bleue monte un poney brun à côté de l'eau.
233,Two horses pull a carriage driven by a woman over snow covered ground.,Deux chevaux tirent une charette menée par une femme sur un sol couvert de neige.
234,A person climbing down a sheer rock cliff using a rope,Une personne descendant d'une falaise à l'aide d'une corde
235,The group of hikers is resting in front of a mountain.,Le groupe de randonneurs se repose devant une montagne
236,A woman standing in front of a chalk drawing,Une femme est debout devant un dessin à la craie.
237,"Three young adults are sitting around, with the girl pretending to kick one of the guys in the face while laughing, and the guy behind him looks like he's in midsentence.","Trois jeunes adultes sont assis, la fille fait semblant de frapper un des garçons dans le visage en riant et le garçon derrière lui semble être au milieu de sa phrase."
238,A group of kids in class with their hands in the air.,Un groupe d'enfants dans une classe avec les mains en l'air.
239,A man wearing swimming trunks jumps off a concrete platform into a large body of water.,Un homme portant un maillot saute depuis une plateforme de béton dans une vaste étendue d'eau
240,Woman meticulously working with a sewing machine.,Une femme travaille méticuleusement avec une machine à coudre.
241,A lady in a white t-shirt is looking toward the person with their arm raised in the air.,Une femme dans un t-shirt bland regarde une personne avec leur bras levé en l'air.
242,A girl working at a farm market selling peppers.,Une fille travaillant sur un marché vendant des poivrons.
243,An elderly women is sitting in a chair with a cane in her hand.,Une femme agée est assise sur une chaine avec une canne à la main
244,A boy has blown four bubbles on the lawn.,Un garçon a soufflé 4 bulles dans un pré
245,A little boy playing in the water.,Un petit garçon joue dans l'eau.
246,Dog running out of tunnel on obstacle course,Un chien sort en courant d'un tunnel d'une course d'obstable.
247,A yellow dog and a black and white dog are running in the dirt.,Un chien jaune et un chien noir et blanc courent dans la poussière.
248,Two men barbecuing at a beach.,Deux hommes font un barbecue sur la plage.
249,"A little girl in a flower print bathing suit, jumping into the ocean.","Une petite fille en maillot de bain imprimé fleuri, sautant dans l'océan."
250,Little girl in blue swimsuit standing on a handrail near a beach.,Une petite fille en maillot de bain bleu devout sur une poutre près de la plage.
251,A young Asian boy sits on a railing behind a row of colorful hats,Un jeune garçon asiatique est assis sur une barrière derrière une rangée de casquettes colorées
252,A white and black dog is jumping into a pool.,Un chien noir et blanc sautant dans une piscine.
253,The boys smiles underwater at the pool.,Les garçons sourient sous l'eau à la piscine.
254,Two people having a discussion sitting in a restaurant.,Deux personnes discutant assis au restaurant.
255,Several people are taking a break while on a snowmobiling ride.,plusieurs personnes faisant une pose pendant une sortie en moto-neige.
256,Two people working on removing snow from a roof.,Deux personnes travaillent à enlever la neige d'un tout.
257,A young man wearing a black shirt takes a folding chair from a large stack.,UN jeune homme portant un t-shirt noir prend une chaise pliante d'une grande pile.
258,A woman is walking at dusk down an urban street.,Une femme marchant dans une rue en ville à la tombée du jour.
259,A little girl with brown hair is blowing the petals off of a flower.,Une petite fille avec des cheveux bruns souffle les pétales d'une fleur.
260,Three people on ATV's outside.,Trois personnes sur un quad à l'extérieur.
261,A man on a four wheeler is flying through the air.,Un homme sur un quad volant dans les airs.
262,A man on a four-wheeler jumps near a small building.,Un homme sur un quad près d'un petit bâtiment.
263,A woman with dark hair wearing a bikini is sitting on a beach.,Une femme aux cheveux foncés portant un bikini est assise sur la plage.
